Attribute name,Shape D1,Initial memory usage,Data memory usage,Computing memory usage,Final memory usage
 apparent_polarity,200,10920.8,267788.8,246466.4,514255.2
 apparent_polarity,400,10756.0,277691.2,244904.8,522596.0
 apparent_polarity,600,10921.6,295609.6,187701.6,483311.2
 apparent_polarity,800,10832.0,317181.6,189946.4,507128.0
 apparent_polarity,1000,10936.8,331344.0,191953.6,523297.6
 cosine_instantaneous_phase,200,10819.2,271955.2,213231.2,485186.4
 cosine_instantaneous_phase,400,10890.4,281820.8,181852.0,463672.8
 cosine_instantaneous_phase,600,10936.0,300195.2,182354.4,482549.6
 cosine_instantaneous_phase,800,10895.2,310631.2,182155.2,492786.4
 cosine_instantaneous_phase,1000,10900.0,326496.0,181576.0,508072.0
 dominant_frequency,200,10938.4,267288.8,341022.4,608311.2
 dominant_frequency,400,10888.0,285542.4,374030.4,659572.8
 dominant_frequency,600,10948.8,294246.4,197968.0,492214.4
 dominant_frequency,800,10920.0,315389.6,201385.6,516775.2
 dominant_frequency,1000,10846.4,331216.0,204607.2,535823.2
 envelope,200,10775.2,261873.6,197664.0,459537.6
 envelope,400,10913.6,276978.4,182063.2,459041.6
 envelope,600,10825.6,289601.6,182174.4,471776.0
 envelope,800,10858.4,304341.6,182136.0,486477.6
 envelope,1000,10842.4,320738.4,181346.4,502084.8
 first_derivative,200,10908.8,259281.6,203235.2,462516.8
 first_derivative,400,10933.6,280605.6,220144.8,500750.4
 first_derivative,600,10855.2,291219.2,188560.0,479779.2
 first_derivative,800,10953.6,304695.2,189112.0,493807.2
 first_derivative,1000,10825.6,321612.0,189311.2,510923.2
 frequency_change,200,10900.0,257272.8,337047.2,594320.0
 frequency_change,400,10896.0,269876.8,337784.8,607661.6
 frequency_change,600,10946.4,288394.4,196289.6,484684.0
 frequency_change,800,11000.8,307799.2,198980.8,506780.0
 frequency_change,1000,10866.4,320958.4,203431.2,524389.6
 gradient_magnitude,200,10862.4,255582.4,207272.8,462855.2
 gradient_magnitude,400,10904.0,273644.0,192918.4,466562.4
 gradient_magnitude,600,10868.0,291697.6,194476.8,486174.4
 gradient_magnitude,800,10835.2,304850.4,197374.4,502224.8
 gradient_magnitude,1000,10872.0,320888.0,188475.2,509363.2
 gst3d,200,10828.0,253408.0,493713.6,747121.6
 gst3d,400,10985.6,276031.2,792136.8,1068168.0
 gst3d,600,10918.4,289075.2,206136.8,495212.0
 gst3d,800,10982.4,304026.4,209196.8,513223.2
 gst3d,1000,10880.0,323400.8,215953.6,539354.4
 histogram_equalization,200,10825.6,255212.8,183599.2,438812.0
 histogram_equalization,400,10888.8,275403.2,184788.0,460191.2
 histogram_equalization,600,10920.8,292444.0,185240.8,477684.8
 histogram_equalization,800,10859.2,301269.6,184439.2,485708.8
 histogram_equalization,1000,10942.4,315062.4,184341.6,499404.0
 instantaneous_bandwidth,200,10834.4,256142.4,200836.0,456978.4
 instantaneous_bandwidth,400,10820.0,274807.2,263321.6,538128.8
 instantaneous_bandwidth,600,10824.8,291051.2,188526.4,479577.6
 instantaneous_bandwidth,800,10769.6,319196.0,189145.6,508341.6
 instantaneous_bandwidth,1000,10963.2,338589.6,190361.6,528951.2
 instantaneous_frequency,200,10805.6,275031.2,298833.6,573864.8
 instantaneous_frequency,400,10813.6,290985.6,313962.4,604948.0
 instantaneous_frequency,600,10879.2,305080.8,194351.2,499432.0
 instantaneous_frequency,800,10806.4,319474.4,196270.4,515744.8
 instantaneous_frequency,1000,11004.8,336507.2,200425.6,536932.8
 instantaneous_phase,200,10893.6,275903.2,213148.8,489052.0
 instantaneous_phase,400,10986.4,290371.2,181930.4,472301.6
 instantaneous_phase,600,10796.0,306470.4,181522.4,487992.8
 instantaneous_phase,800,10961.6,323602.4,182840.0,506442.4
 instantaneous_phase,1000,10885.6,338756.8,182186.4,520943.2
 quality_factor,200,10935.2,275058.4,322742.4,597800.8
 quality_factor,400,10815.2,290652.8,329529.6,620182.4
 quality_factor,600,10828.0,305082.4,197157.6,502240.0
 quality_factor,800,10873.6,323816.0,202645.6,526461.6
 quality_factor,1000,10819.2,338358.4,204484.8,542843.2
 reflection_intensity,200,10922.4,273380.0,202039.2,475419.2
 reflection_intensity,400,10888.8,291355.2,186534.4,477889.6
 reflection_intensity,600,10922.4,304405.6,188596.0,493001.6
 reflection_intensity,800,10923.2,323993.6,191088.8,515082.4
 reflection_intensity,1000,10940.8,338604.0,185583.2,524187.2
 relative_amplitude_change,200,10908.8,273677.6,187004.8,460682.4
 relative_amplitude_change,400,10803.2,292040.8,264774.4,556815.2
 relative_amplitude_change,600,10937.6,303236.8,188021.6,491258.4
 relative_amplitude_change,800,10827.2,322126.4,189152.0,511278.4
 relative_amplitude_change,1000,10826.4,340052.0,189879.2,529931.2
 response_amplitude,200,10862.4,272789.6,246249.6,519039.2
 response_amplitude,400,10876.8,284064.0,245718.4,529782.4
 response_amplitude,600,10799.2,294131.2,187792.8,481924.0
 response_amplitude,800,10860.8,306616.8,190692.0,497308.8
 response_amplitude,1000,10918.4,320994.4,192068.8,513063.2
 response_frequency,200,10884.8,260459.2,366886.4,627345.6
