Execution ID, Initial memory usage, Data memory usage, Computing memory usage, Final memory usage
eb2bab6d-33d7-474d-b2e9-6ecba240837b, 10848, 255468, 246236, 501704
ec11dbc8-66cf-4837-853b-617263487915, 10960, 273904, 246948, 520852
949c47a2-2eb8-4952-9b63-f8f02882dea1, 10896, 269096, 246384, 515480
33444467-1769-4fd2-a1a9-db3167a7e01f, 10996, 267820, 246424, 514244
5c7da5a9-1e98-4230-98e7-31e959d1a3c2, 10904, 272656, 246340, 518996
9434752e-4656-4fa5-a4c2-3a8f05b5b21d, 10872, 265212, 244244, 509456
384cff6e-3e0f-46db-a8a7-5ff3d9954ef8, 10712, 276668, 246400, 523068
df12c85e-94f7-492f-828f-c1acf5c135e8, 10632, 280464, 244080, 524544
f1269464-9b5f-4cc6-b52b-f18708775df0, 10772, 276812, 245872, 522684
cc0d1590-5015-456c-8346-064d78e2b5c2, 10792, 289300, 243928, 533228
19b52b0e-fdcd-4b4f-a343-526e72fa2469, 10980, 291984, 187392, 479376
c56ed51c-70d3-4f75-82ca-4c6c904ea0b8, 10848, 306116, 187760, 493876
b773ce82-6ac4-4322-8132-e2ff943dfb97, 11024, 290812, 187296, 478108
ace5cd99-63a6-47bc-a7bc-aa8d18c2b5ea, 11020, 289128, 188028, 477156
acdb8c07-411c-4710-8d25-65f9329acad9, 10736, 300008, 188032, 488040
b357dca9-ced6-424f-b74a-97503be37b44, 10824, 321428, 189624, 511052
a5784117-636f-40bb-979a-034d8fc0ceba, 10796, 316444, 189760, 506204
1145b78d-d0c9-4845-b1e0-6743552ede17, 11052, 316224, 191364, 507588
f14ea9be-e7c1-4b41-871e-fa2bb2a617ef, 10880, 315820, 189700, 505520
c19d2c9a-add9-46b4-a4d0-acf078538a6d, 10608, 315992, 189284, 505276
b9d1772a-13b7-45af-b299-2d63497fe01d, 11168, 323772, 192248, 516020
01f6ab01-c3a1-412a-b31a-f1f94841a9e6, 10824, 331160, 191744, 522904
675b45a0-c9a7-46f2-8a3b-d6494195a548, 10828, 333212, 192168, 525380
bf13095d-73c7-4da1-ab5a-b71c85a197a2, 11000, 328820, 191876, 520696
79f4277b-888e-465b-9370-dfb8fd5396c3, 10864, 339756, 191732, 531488
488fa9f6-2621-42a4-8448-399b9517ca39, 10724, 277644, 214496, 492140
798a023c-28f3-40a5-9587-a36dcb2783ef, 10920, 273800, 213076, 486876
98d66a19-8504-4613-ab30-f67986e1c330, 10696, 269860, 212816, 482676
3f5f7107-6083-4182-a670-c421b07452f1, 10920, 266600, 213144, 479744
143e0f66-64c4-4289-8152-cecb7062f8d2, 10836, 271872, 212624, 484496
efc69981-5833-448a-91bd-8b061fbd00c0, 10780, 279316, 181984, 461300
d4de88ab-867e-47e9-8d2f-16a553da869c, 11064, 279892, 181868, 461760
cbd3244a-11dd-4920-bc6b-148bcd415365, 10784, 277588, 181932, 459520
53f9ec99-2717-408a-818e-fe00527ed537, 10960, 289076, 181996, 471072
9d6c83fc-bf17-43de-b359-0b870c8630e7, 10864, 283232, 181480, 464712
5be013cb-8238-4689-bf50-be2cf0afd48d, 10988, 304244, 181964, 486208
b2e8b21d-0d92-4423-aa51-c50e3f673338, 10796, 298952, 181772, 480724
2c1d2d05-5264-4c32-b821-86f4adb7094b, 11052, 301028, 182116, 483144
d6460db7-4f32-4426-b7b5-3eaf6cf2ec3c, 10900, 302220, 181888, 484108
6615db52-be6b-4071-b5e5-068548d704b7, 10944, 294532, 184032, 478564
dd230172-3ced-4fe7-94e9-f2f44480ba31, 10884, 292672, 181916, 474588
e08e307d-726d-457b-9fa0-e1ba04e81995, 11000, 312912, 181552, 494464
b7eee099-ffc2-4760-bd5b-1a47a7b09428, 10776, 315280, 183996, 499276
e26b3ce5-8322-437f-a732-773e155aff8d, 10856, 319200, 181112, 500312
87efb08d-286e-415a-a544-ded3abe86de4, 10960, 313092, 182200, 495292
f7ba9ae5-b9c3-49db-92ca-a8d9621d5452, 10932, 324892, 181404, 506296
89c4199e-2f25-4621-b5a3-9ecd7608e422, 10824, 337804, 181512, 519316
e06ae684-9f16-44ed-aca7-b26a31ddd874, 10964, 328192, 181312, 509504
b1a46de1-8c5e-4249-88bf-16705ec8ce0a, 10900, 321992, 181868, 503860
b4fd9380-c355-4de9-8ba3-407a82ba6a44, 10880, 319600, 181784, 501384
48adcb12-0682-46db-a030-4e0d19d0e351, 10916, 278700, 361056, 639756
43fb1231-7645-4a92-8dea-8854bc70cb8f, 11148, 256556, 331032, 587588
8471752c-4c95-4803-b0b2-822447aca519, 10984, 263276, 315572, 578848
28e00f8d-d476-474b-8934-8016aa59ace6, 10840, 263452, 364632, 628084
a1d16acf-d5e1-44de-b245-b6ceacca115a, 10804, 274460, 332820, 607280
35665129-90f9-4275-964a-497ce14fe966, 10804, 287200, 316944, 604144
5192b2fc-1a99-4371-a66a-cad97296a657, 10952, 292232, 383736, 675968
f1527471-583a-48fc-8352-a7bd91004fa3, 10960, 286448, 411044, 697492
e1892912-2f98-4fa3-9fef-577de2ffeda8, 10876, 284412, 379928, 664340
24c623d8-4d63-473f-a221-401b9bd28e51, 10848, 277420, 378500, 655920
2cffb844-b651-458a-a4df-86f38d5d8a0d, 10904, 295448, 200096, 495544
d8b885e9-4c1c-4d3b-8577-d1e0754bd294, 10812, 291484, 198156, 489640
ad74005a-a4d5-4512-aa4c-0d92c88492b7, 10968, 291372, 196180, 487552
8875fab6-1a36-4652-91d5-26b0d3d8787d, 11016, 294644, 197096, 491740
9d3f15e3-4823-48b4-9109-41dabd909001, 11044, 298284, 198312, 496596
abf2a874-67da-410f-9c19-a671263af3a0, 10868, 314360, 200084, 514444
75985b66-a929-4805-8df6-6372447d8088, 10956, 317968, 201008, 518976
3b27224a-d2ab-4635-9db9-f6a4d4099971, 10944, 319260, 201028, 520288
aa7e5c45-6f91-4e9c-bef3-23feec60445b, 10892, 310088, 201816, 511904
daac82f2-dc9d-4bfe-ac8d-8d89050fe1aa, 10940, 315272, 202992, 518264
df60a5f9-e144-4f32-a6e0-349c7481de08, 10980, 341596, 205560, 547156
1b6a8327-250e-47a5-9bd1-6e32db89c520, 11052, 327076, 203828, 530904
9ea8417a-6150-4d80-a15f-c57a08c618c7, 10864, 332372, 206072, 538444
01406f65-054a-4457-b8fc-58f316cf26bd, 10616, 331012, 203868, 534880
aa7f57d1-af46-4322-9cde-0fbe258a247d, 10720, 324024, 203708, 527732
bc396cdd-982e-4403-8b17-12449443328c, 10772, 272136, 199080, 471216
56630ea5-a318-4dfa-b650-51ddd47d3d34, 10808, 260908, 199008, 459916
090277c9-a26a-4c21-a39f-921650935d4b, 10776, 260488, 196560, 457048
12bdf427-3b1d-43b4-b2ff-8e616bd53bcb, 10816, 260788, 197100, 457888
87a0470f-9dfb-4047-bc65-086975456616, 10704, 255048, 196572, 451620
4811d8b7-6e72-44a5-a480-33e2284d6ace, 11072, 275024, 183896, 458920
1805d94f-ff0b-4745-9f85-50b12fe3ee8a, 10860, 273552, 181980, 455532
f225e38b-c4b8-40f3-a549-941b27f78fa5, 10752, 274256, 181848, 456104
25baa71f-95f1-43dc-9c2b-5dc6363bf1ae, 10952, 284140, 181152, 465292
18d4f1ed-a4b1-4ee7-bd81-0f929459f07e, 10932, 277920, 181440, 459360
