Attribute name,Shape D1,Initial memory usage,Data memory usage,Computing memory usage,Final memory usage
 envelope,200,10775.2,261873.6,197664.0,459537.6
 envelope,400,10913.6,276978.4,182063.2,459041.6
 envelope,600,10825.6,289601.6,182174.4,471776.0
 envelope,800,10858.4,304341.6,182136.0,486477.6
 envelope,1000,10842.4,320738.4,181346.4,502084.8
 gst3d,200,10828.0,253408.0,493713.6,747121.6
 gst3d,400,10985.6,276031.2,792136.8,1068168.0
 gst3d,600,10918.4,289075.2,206136.8,495212.0
 gst3d,800,10982.4,304026.4,209196.8,513223.2
 gst3d,1000,10880.0,323400.8,215953.6,539354.4
 semblance,200,10874.4,269452.0,190174.4,459626.4
 semblance,400,10848.8,287460.0,188979.2,476439.2
 semblance,600,10862.4,298724.0,189582.4,488306.4
 semblance,800,10883.2,312467.2,191525.6,503992.8
 semblance,1000,10955.2,330061.6,189016.8,519078.4
