Execution ID:		2148af4f-395a-4b07-8b43-daf413d66365
Backend:			psutil
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713412006.8423111		CURRENT 54.28515625 mb		PEAK 54.28515625 mb
TIME 1713412006.858371		CURRENT 62.4296875 mb		PEAK 62.4296875 mb
TIME 1713412006.879499		CURRENT 73.29296875 mb		PEAK 73.29296875 mb
TIME 1713412006.9060109		CURRENT 83.7265625 mb		PEAK 83.7265625 mb
TIME 1713412006.943175		CURRENT 104.10546875 mb		PEAK 104.10546875 mb
TIME 1713412006.9595728		CURRENT 111.83984375 mb		PEAK 111.83984375 mb
TIME 1713412006.9806356		CURRENT 122.69140625 mb		PEAK 122.69140625 mb
TIME 1713412007.0121386		CURRENT 139.9765625 mb		PEAK 139.9765625 mb
TIME 1713412007.0489902		CURRENT 156.21875 mb		PEAK 156.21875 mb
TIME 1713412007.0962934		CURRENT 176.9765625 mb		PEAK 176.9765625 mb
TIME 1713412007.1280723		CURRENT 191.15625 mb		PEAK 191.15625 mb
TIME 1713412007.1804059		CURRENT 216.29296875 mb		PEAK 216.29296875 mb
TIME 1713412007.2331526		CURRENT 231.82421875 mb		PEAK 231.82421875 mb
TIME 1713412007.2596347		CURRENT 248.96484375 mb		PEAK 248.96484375 mb
TIME 1713412007.3016577		CURRENT 266.45703125 mb		PEAK 266.45703125 mb
TIME 1713412007.3550105		CURRENT 287.53125 mb		PEAK 287.53125 mb
TIME 1713412007.3937933		CURRENT 303.96484375 mb		PEAK 303.96484375 mb
TIME 1713412007.4254944		CURRENT 318.59375 mb		PEAK 318.59375 mb
TIME 1713412007.4776897		CURRENT 340.6328125 mb		PEAK 340.6328125 mb
TIME 1713412007.5246816		CURRENT 362.1875 mb		PEAK 362.1875 mb
TIME 1713412007.5824907		CURRENT 387.8125 mb		PEAK 387.8125 mb
TIME 1713412007.6411273		CURRENT 409.078125 mb		PEAK 409.078125 mb
TIME 1713412007.6796663		CURRENT 426.80078125 mb		PEAK 426.80078125 mb
TIME 1713412007.7637525		CURRENT 71.80859375 mb		PEAK 426.80078125 mb
