Execution ID:		29b2595c-d83c-415e-bfe5-843adfd64dcb
Backend:			kernel
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713483618.6434379		CURRENT 128.84765625 mb		PEAK 128.84765625 mb
TIME 1713483618.6540585		CURRENT 132.50390625 mb		PEAK 132.50390625 mb
TIME 1713483618.6594594		CURRENT 137.55078125 mb		PEAK 137.55078125 mb
TIME 1713483618.664756		CURRENT 140.29296875 mb		PEAK 140.29296875 mb
TIME 1713483618.670184		CURRENT 142.734375 mb		PEAK 142.734375 mb
TIME 1713483618.6807911		CURRENT 148.7890625 mb		PEAK 148.7890625 mb
TIME 1713483618.6862326		CURRENT 151.41796875 mb		PEAK 151.41796875 mb
TIME 1713483618.6967523		CURRENT 154.125 mb		PEAK 154.125 mb
TIME 1713483618.7021594		CURRENT 158.921875 mb		PEAK 158.921875 mb
TIME 1713483618.7126231		CURRENT 162.81640625 mb		PEAK 162.81640625 mb
TIME 1713483618.7180681		CURRENT 167.82421875 mb		PEAK 167.82421875 mb
TIME 1713483618.7234936		CURRENT 171.95703125 mb		PEAK 171.95703125 mb
TIME 1713483618.7340112		CURRENT 173.95703125 mb		PEAK 173.95703125 mb
TIME 1713483618.7395291		CURRENT 179.23046875 mb		PEAK 179.23046875 mb
TIME 1713483618.7501936		CURRENT 181.23046875 mb		PEAK 181.23046875 mb
TIME 1713483618.760737		CURRENT 186.66796875 mb		PEAK 186.66796875 mb
TIME 1713483618.771347		CURRENT 193.28125 mb		PEAK 193.28125 mb
TIME 1713483618.7818327		CURRENT 199.09375 mb		PEAK 199.09375 mb
TIME 1713483618.7924163		CURRENT 204.09375 mb		PEAK 204.09375 mb
TIME 1713483618.8030787		CURRENT 210.13671875 mb		PEAK 210.13671875 mb
TIME 1713483618.8137064		CURRENT 214.13671875 mb		PEAK 214.13671875 mb
TIME 1713483618.824394		CURRENT 220.43359375 mb		PEAK 220.43359375 mb
TIME 1713483618.8349705		CURRENT 224.43359375 mb		PEAK 224.43359375 mb
TIME 1713483618.8455865		CURRENT 227.43359375 mb		PEAK 227.43359375 mb
TIME 1713483618.8562372		CURRENT 234.01953125 mb		PEAK 234.01953125 mb
TIME 1713483618.8668127		CURRENT 238.01953125 mb		PEAK 238.01953125 mb
TIME 1713483618.8809657		CURRENT 244.92578125 mb		PEAK 244.92578125 mb
TIME 1713483618.8915927		CURRENT 247.92578125 mb		PEAK 247.92578125 mb
TIME 1713483618.9022164		CURRENT 251.92578125 mb		PEAK 251.92578125 mb
TIME 1713483618.9127214		CURRENT 255.92578125 mb		PEAK 255.92578125 mb
TIME 1713483618.9233432		CURRENT 263.1953125 mb		PEAK 263.1953125 mb
TIME 1713483618.9340286		CURRENT 266.1953125 mb		PEAK 266.1953125 mb
TIME 1713483618.9688015		CURRENT 270.1953125 mb		PEAK 270.1953125 mb
TIME 1713483618.9793155		CURRENT 276.875 mb		PEAK 276.875 mb
TIME 1713483618.9898977		CURRENT 281.875 mb		PEAK 281.875 mb
TIME 1713483619.0004706		CURRENT 285.875 mb		PEAK 285.875 mb
TIME 1713483619.011081		CURRENT 289.875 mb		PEAK 289.875 mb
TIME 1713483619.0216074		CURRENT 297.015625 mb		PEAK 297.015625 mb
TIME 1713483619.0326502		CURRENT 300.015625 mb		PEAK 300.015625 mb
TIME 1713483619.0432281		CURRENT 304.015625 mb		PEAK 304.015625 mb
TIME 1713483619.0538664		CURRENT 308.015625 mb		PEAK 308.015625 mb
TIME 1713483619.0644422		CURRENT 315.671875 mb		PEAK 315.671875 mb
TIME 1713483619.0751846		CURRENT 319.671875 mb		PEAK 319.671875 mb
TIME 1713483619.085818		CURRENT 323.671875 mb		PEAK 323.671875 mb
TIME 1713483619.0966482		CURRENT 327.671875 mb		PEAK 327.671875 mb
TIME 1713483619.1071985		CURRENT 331.671875 mb		PEAK 331.671875 mb
TIME 1713483619.117749		CURRENT 340.91015625 mb		PEAK 340.91015625 mb
TIME 1713483619.1282718		CURRENT 344.91015625 mb		PEAK 344.91015625 mb
TIME 1713483619.1388948		CURRENT 348.91015625 mb		PEAK 348.91015625 mb
TIME 1713483619.149681		CURRENT 351.91015625 mb		PEAK 351.91015625 mb
TIME 1713483619.1602373		CURRENT 355.91015625 mb		PEAK 355.91015625 mb
TIME 1713483619.1707394		CURRENT 359.91015625 mb		PEAK 359.91015625 mb
TIME 1713483619.1813042		CURRENT 369.8046875 mb		PEAK 369.8046875 mb
TIME 1713483619.191929		CURRENT 373.8046875 mb		PEAK 373.8046875 mb
TIME 1713483619.2024662		CURRENT 377.8046875 mb		PEAK 377.8046875 mb
TIME 1713483619.2130466		CURRENT 381.8046875 mb		PEAK 381.8046875 mb
TIME 1713483619.2238052		CURRENT 385.8046875 mb		PEAK 385.8046875 mb
TIME 1713483619.2292068		CURRENT 389.8046875 mb		PEAK 389.8046875 mb
TIME 1713483619.234617		CURRENT 398.43359375 mb		PEAK 398.43359375 mb
TIME 1713483619.2451513		CURRENT 400.43359375 mb		PEAK 400.43359375 mb
TIME 1713483619.2557259		CURRENT 405.43359375 mb		PEAK 405.43359375 mb
TIME 1713483619.2663023		CURRENT 409.43359375 mb		PEAK 409.43359375 mb
TIME 1713483619.2768483		CURRENT 414.43359375 mb		PEAK 414.43359375 mb
TIME 1713483619.2874274		CURRENT 418.43359375 mb		PEAK 418.43359375 mb
TIME 1713483619.2979083		CURRENT 423.43359375 mb		PEAK 423.43359375 mb
TIME 1713483619.3086753		CURRENT 434.89453125 mb		PEAK 434.89453125 mb
TIME 1713483619.3192692		CURRENT 439.89453125 mb		PEAK 439.89453125 mb
TIME 1713483619.329818		CURRENT 443.89453125 mb		PEAK 443.89453125 mb
TIME 1713483619.3404036		CURRENT 447.89453125 mb		PEAK 447.89453125 mb
TIME 1713483619.351157		CURRENT 451.89453125 mb		PEAK 451.89453125 mb
TIME 1713483619.361713		CURRENT 456.89453125 mb		PEAK 456.89453125 mb
TIME 1713483619.372249		CURRENT 461.89453125 mb		PEAK 461.89453125 mb
TIME 1713483619.3827665		CURRENT 474.28515625 mb		PEAK 474.28515625 mb
TIME 1713483619.3935144		CURRENT 478.28515625 mb		PEAK 478.28515625 mb
TIME 1713483619.4041514		CURRENT 482.28515625 mb		PEAK 482.28515625 mb
TIME 1713483619.4148076		CURRENT 486.28515625 mb		PEAK 486.28515625 mb
TIME 1713483619.4254396		CURRENT 489.28515625 mb		PEAK 489.28515625 mb
TIME 1713483619.4310822		CURRENT 493.28515625 mb		PEAK 493.28515625 mb
TIME 1713483619.442013		CURRENT 495.28515625 mb		PEAK 495.28515625 mb
TIME 1713483619.4525917		CURRENT 499.28515625 mb		PEAK 499.28515625 mb
TIME 1713483619.4632638		CURRENT 503.28515625 mb		PEAK 503.28515625 mb
TIME 1713483619.4737332		CURRENT 516.7265625 mb		PEAK 516.7265625 mb
TIME 1713483619.5511932		CURRENT 517.7265625 mb		PEAK 517.7265625 mb
