Execution ID:		28c64389-2d26-4f3e-9a84-05991baa7621
Backend:			mprof
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713483611.3629224		CURRENT 42.83984375 mb		PEAK 42.83984375 mb
TIME 1713483611.3652983		CURRENT 42.921875 mb		PEAK 42.921875 mb
TIME 1713483611.366752		CURRENT 43.48828125 mb		PEAK 43.48828125 mb
TIME 1713483611.3680193		CURRENT 44.26171875 mb		PEAK 44.26171875 mb
TIME 1713483611.369243		CURRENT 45.03515625 mb		PEAK 45.03515625 mb
TIME 1713483611.3704832		CURRENT 45.80859375 mb		PEAK 45.80859375 mb
TIME 1713483611.3717036		CURRENT 46.32421875 mb		PEAK 46.32421875 mb
TIME 1713483611.3729339		CURRENT 47.87109375 mb		PEAK 47.87109375 mb
TIME 1713483611.3741658		CURRENT 48.515625 mb		PEAK 48.515625 mb
TIME 1713483611.3754072		CURRENT 49.28515625 mb		PEAK 49.28515625 mb
TIME 1713483611.3766503		CURRENT 50.05859375 mb		PEAK 50.05859375 mb
TIME 1713483611.3778877		CURRENT 50.57421875 mb		PEAK 50.57421875 mb
TIME 1713483611.37914		CURRENT 51.34765625 mb		PEAK 51.34765625 mb
TIME 1713483611.380366		CURRENT 52.12109375 mb		PEAK 52.12109375 mb
TIME 1713483611.3814862		CURRENT 52.89453125 mb		PEAK 52.89453125 mb
TIME 1713483611.382722		CURRENT 53.49609375 mb		PEAK 53.49609375 mb
TIME 1713483611.3839555		CURRENT 54.265625 mb		PEAK 54.265625 mb
TIME 1713483611.3852034		CURRENT 54.98046875 mb		PEAK 54.98046875 mb
TIME 1713483611.3863657		CURRENT 55.75390625 mb		PEAK 55.75390625 mb
TIME 1713483611.3875926		CURRENT 56.26953125 mb		PEAK 56.26953125 mb
TIME 1713483611.3888261		CURRENT 57.04296875 mb		PEAK 57.04296875 mb
TIME 1713483611.390078		CURRENT 57.81640625 mb		PEAK 57.81640625 mb
TIME 1713483611.3913407		CURRENT 58.58984375 mb		PEAK 58.58984375 mb
TIME 1713483611.3925834		CURRENT 59.10546875 mb		PEAK 59.10546875 mb
TIME 1713483611.3938153		CURRENT 59.87890625 mb		PEAK 59.87890625 mb
TIME 1713483611.3950481		CURRENT 60.65234375 mb		PEAK 60.65234375 mb
TIME 1713483611.396281		CURRENT 61.38671875 mb		PEAK 61.38671875 mb
TIME 1713483611.3975406		CURRENT 62.15625 mb		PEAK 62.15625 mb
TIME 1713483611.3987725		CURRENT 62.9296875 mb		PEAK 62.9296875 mb
TIME 1713483611.4000087		CURRENT 63.6015625 mb		PEAK 63.6015625 mb
TIME 1713483611.4012578		CURRENT 64.37109375 mb		PEAK 64.37109375 mb
TIME 1713483611.4024885		CURRENT 64.88671875 mb		PEAK 64.88671875 mb
TIME 1713483611.40376		CURRENT 65.40234375 mb		PEAK 65.40234375 mb
TIME 1713483611.4049854		CURRENT 65.91796875 mb		PEAK 65.91796875 mb
TIME 1713483611.4061844		CURRENT 66.69140625 mb		PEAK 66.69140625 mb
TIME 1713483611.407349		CURRENT 67.20703125 mb		PEAK 67.20703125 mb
TIME 1713483611.4085264		CURRENT 67.98046875 mb		PEAK 67.98046875 mb
TIME 1713483611.4097383		CURRENT 68.49609375 mb		PEAK 68.49609375 mb
TIME 1713483611.4109344		CURRENT 69.1484375 mb		PEAK 69.1484375 mb
TIME 1713483611.4120853		CURRENT 69.6640625 mb		PEAK 69.6640625 mb
TIME 1713483611.413229		CURRENT 70.4375 mb		PEAK 70.4375 mb
TIME 1713483611.4143808		CURRENT 70.953125 mb		PEAK 70.953125 mb
TIME 1713483611.4155276		CURRENT 71.46875 mb		PEAK 71.46875 mb
TIME 1713483611.4166722		CURRENT 71.984375 mb		PEAK 71.984375 mb
TIME 1713483611.417872		CURRENT 72.5 mb		PEAK 72.5 mb
TIME 1713483611.4190261		CURRENT 73.2734375 mb		PEAK 73.2734375 mb
TIME 1713483611.4201615		CURRENT 73.7890625 mb		PEAK 73.7890625 mb
