Execution ID:		c31eb83a-1237-4842-9525-c966ba865287
Backend:			resource
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713483610.243056		CURRENT 42.69140625 mb		PEAK 42.69140625 mb
TIME 1713483610.248672		CURRENT 45.78515625 mb		PEAK 45.78515625 mb
TIME 1713483610.2540345		CURRENT 49.4140625 mb		PEAK 49.4140625 mb
TIME 1713483610.2594314		CURRENT 52.41796875 mb		PEAK 52.41796875 mb
TIME 1713483610.2648013		CURRENT 55.25390625 mb		PEAK 55.25390625 mb
TIME 1713483610.270192		CURRENT 58.21484375 mb		PEAK 58.21484375 mb
TIME 1713483610.2755318		CURRENT 61.05078125 mb		PEAK 61.05078125 mb
TIME 1713483610.2809033		CURRENT 63.484375 mb		PEAK 63.484375 mb
TIME 1713483610.2862878		CURRENT 66.12890625 mb		PEAK 66.12890625 mb
TIME 1713483610.29157		CURRENT 68.703125 mb		PEAK 68.703125 mb
TIME 1713483610.296889		CURRENT 71.25 mb		PEAK 71.25 mb
TIME 1713483610.3022192		CURRENT 73.88671875 mb		PEAK 73.88671875 mb
TIME 1713483610.3075469		CURRENT 76.921875 mb		PEAK 76.921875 mb
TIME 1713483610.3128397		CURRENT 79.5 mb		PEAK 79.5 mb
TIME 1713483610.3181198		CURRENT 81.9453125 mb		PEAK 81.9453125 mb
TIME 1713483610.3234026		CURRENT 84.78125 mb		PEAK 84.78125 mb
TIME 1713483610.3286622		CURRENT 87.6171875 mb		PEAK 87.6171875 mb
TIME 1713483610.334035		CURRENT 90.453125 mb		PEAK 90.453125 mb
TIME 1713483610.3393621		CURRENT 93.2890625 mb		PEAK 93.2890625 mb
TIME 1713483610.344659		CURRENT 95.87890625 mb		PEAK 95.87890625 mb
TIME 1713483610.3499007		CURRENT 98.71484375 mb		PEAK 98.71484375 mb
TIME 1713483610.3552048		CURRENT 101.5 mb		PEAK 101.5 mb
TIME 1713483610.3604667		CURRENT 104.3359375 mb		PEAK 104.3359375 mb
TIME 1713483610.3658068		CURRENT 107.171875 mb		PEAK 107.171875 mb
TIME 1713483610.371138		CURRENT 109.4921875 mb		PEAK 109.4921875 mb
TIME 1713483610.3764467		CURRENT 112.0703125 mb		PEAK 112.0703125 mb
TIME 1713483610.3817239		CURRENT 114.390625 mb		PEAK 114.390625 mb
TIME 1713483610.3870013		CURRENT 116.96875 mb		PEAK 116.96875 mb
TIME 1713483610.3922796		CURRENT 119.546875 mb		PEAK 119.546875 mb
TIME 1713483610.3976302		CURRENT 121.3515625 mb		PEAK 121.3515625 mb
TIME 1713483610.4029918		CURRENT 124.1875 mb		PEAK 124.1875 mb
TIME 1713483610.4082785		CURRENT 126.921875 mb		PEAK 126.921875 mb
TIME 1713483610.4136631		CURRENT 129.7578125 mb		PEAK 129.7578125 mb
TIME 1713483610.4189448		CURRENT 132.3359375 mb		PEAK 132.3359375 mb
TIME 1713483610.424225		CURRENT 134.9140625 mb		PEAK 134.9140625 mb
TIME 1713483610.4295206		CURRENT 137.421875 mb		PEAK 137.421875 mb
TIME 1713483610.4347959		CURRENT 140.0 mb		PEAK 140.0 mb
TIME 1713483610.4400713		CURRENT 142.578125 mb		PEAK 142.578125 mb
TIME 1713483610.4453511		CURRENT 145.15625 mb		PEAK 145.15625 mb
TIME 1713483610.4506104		CURRENT 147.734375 mb		PEAK 147.734375 mb
TIME 1713483610.4559124		CURRENT 150.5703125 mb		PEAK 150.5703125 mb
TIME 1713483610.4613352		CURRENT 153.1484375 mb		PEAK 153.1484375 mb
TIME 1713483610.4666069		CURRENT 155.984375 mb		PEAK 155.984375 mb
TIME 1713483610.4719		CURRENT 158.5625 mb		PEAK 158.5625 mb
TIME 1713483610.4771924		CURRENT 161.390625 mb		PEAK 161.390625 mb
TIME 1713483610.4824512		CURRENT 165.70703125 mb		PEAK 165.70703125 mb
TIME 1713483610.4877415		CURRENT 168.02734375 mb		PEAK 168.02734375 mb
TIME 1713483610.4929934		CURRENT 170.08984375 mb		PEAK 170.08984375 mb
TIME 1713483610.4982762		CURRENT 172.41015625 mb		PEAK 172.41015625 mb
TIME 1713483610.5035362		CURRENT 174.73046875 mb		PEAK 174.73046875 mb
TIME 1713483610.5088122		CURRENT 177.56640625 mb		PEAK 177.56640625 mb
TIME 1713483610.514085		CURRENT 180.14453125 mb		PEAK 180.14453125 mb
TIME 1713483610.5193431		CURRENT 182.72265625 mb		PEAK 182.72265625 mb
TIME 1713483610.5246172		CURRENT 185.55859375 mb		PEAK 185.55859375 mb
TIME 1713483610.5299082		CURRENT 188.13671875 mb		PEAK 188.13671875 mb
TIME 1713483610.5351858		CURRENT 190.97265625 mb		PEAK 190.97265625 mb
TIME 1713483610.5405326		CURRENT 195.91796875 mb		PEAK 195.91796875 mb
TIME 1713483610.5458007		CURRENT 197.98046875 mb		PEAK 197.98046875 mb
TIME 1713483610.5510726		CURRENT 200.04296875 mb		PEAK 200.04296875 mb
TIME 1713483610.5563304		CURRENT 202.36328125 mb		PEAK 202.36328125 mb
TIME 1713483610.5616107		CURRENT 204.42578125 mb		PEAK 204.42578125 mb
TIME 1713483610.5668926		CURRENT 207.00390625 mb		PEAK 207.00390625 mb
TIME 1713483610.5721526		CURRENT 209.8046875 mb		PEAK 209.8046875 mb
