Execution ID:		aad3ee0a-5143-4e53-a1b1-200d79ca9696
Backend:			tracemalloc
Precision:			0.0001s
Input Metadata:		num_elements=10000000
Function:			consume_large_memory

TIME 1713483612.5951984		CURRENT 0.009548187255859375 mb		PEAK 0.009548187255859375 mb
TIME 1713483612.6007705		CURRENT 0.3686065673828125 mb		PEAK 0.3686065673828125 mb
TIME 1713483612.6060634		CURRENT 0.7327423095703125 mb		PEAK 0.7327423095703125 mb
TIME 1713483612.6113343		CURRENT 1.1045455932617188 mb		PEAK 1.1045455932617188 mb
TIME 1713483612.6167178		CURRENT 1.4651947021484375 mb		PEAK 1.4651947021484375 mb
TIME 1713483612.6221125		CURRENT 1.818450927734375 mb		PEAK 1.818450927734375 mb
TIME 1713483612.6274512		CURRENT 2.0981979370117188 mb		PEAK 2.0981979370117188 mb
TIME 1713483612.6328995		CURRENT 2.5147628784179688 mb		PEAK 2.5147628784179688 mb
TIME 1713483612.6383312		CURRENT 2.8738174438476562 mb		PEAK 2.8738174438476562 mb
TIME 1713483612.6436648		CURRENT 3.252960205078125 mb		PEAK 3.252960205078125 mb
TIME 1713483612.6489596		CURRENT 3.6329193115234375 mb		PEAK 3.6329193115234375 mb
TIME 1713483612.6544528		CURRENT 4.0118408203125 mb		PEAK 4.0118408203125 mb
TIME 1713483612.6599374		CURRENT 4.2068023681640625 mb		PEAK 4.2068023681640625 mb
TIME 1713483612.6654458		CURRENT 4.629280090332031 mb		PEAK 4.629280090332031 mb
TIME 1713483612.6708324		CURRENT 4.9029998779296875 mb		PEAK 4.9029998779296875 mb
TIME 1713483612.6762786		CURRENT 5.33984375 mb		PEAK 5.33984375 mb
TIME 1713483612.681656		CURRENT 5.777008056640625 mb		PEAK 5.777008056640625 mb
TIME 1713483612.686987		CURRENT 6.059211730957031 mb		PEAK 6.059211730957031 mb
TIME 1713483612.6922798		CURRENT 6.5357666015625 mb		PEAK 6.5357666015625 mb
TIME 1713483612.6976206		CURRENT 6.818962097167969 mb		PEAK 6.818962097167969 mb
TIME 1713483612.7029765		CURRENT 7.311866760253906 mb		PEAK 7.311866760253906 mb
TIME 1713483612.7082663		CURRENT 7.59295654296875 mb		PEAK 7.59295654296875 mb
TIME 1713483612.7135596		CURRENT 7.834861755371094 mb		PEAK 7.834861755371094 mb
TIME 1713483612.720346		CURRENT 8.21466064453125 mb		PEAK 8.21466064453125 mb
TIME 1713483612.7256806		CURRENT 8.493690490722656 mb		PEAK 8.493690490722656 mb
TIME 1713483612.7311		CURRENT 8.765022277832031 mb		PEAK 8.765022277832031 mb
TIME 1713483612.736473		CURRENT 9.318695068359375 mb		PEAK 9.318695068359375 mb
TIME 1713483612.7417674		CURRENT 9.599761962890625 mb		PEAK 9.599761962890625 mb
TIME 1713483612.7471836		CURRENT 9.876388549804688 mb		PEAK 9.876388549804688 mb
TIME 1713483612.7525191		CURRENT 10.466140747070312 mb		PEAK 10.466140747070312 mb
TIME 1713483612.757925		CURRENT 10.750801086425781 mb		PEAK 10.750801086425781 mb
TIME 1713483612.76322		CURRENT 11.026695251464844 mb		PEAK 11.026695251464844 mb
TIME 1713483612.7685657		CURRENT 11.652694702148438 mb		PEAK 11.652694702148438 mb
TIME 1713483612.7739108		CURRENT 11.920822143554688 mb		PEAK 11.920822143554688 mb
TIME 1713483612.7792592		CURRENT 12.187698364257812 mb		PEAK 12.187698364257812 mb
