Execution ID  	: 20240419_232840
Input Metadata	: num_elements=10000000
Backend       	: psutil
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	   35.37 MB
MEMORY_USAGE	   38.20 MB
MEMORY_USAGE	   40.07 MB
MEMORY_USAGE	   42.62 MB
MEMORY_USAGE	   47.77 MB
MEMORY_USAGE	   50.61 MB
MEMORY_USAGE	   58.57 MB
MEMORY_USAGE	   60.12 MB
MEMORY_USAGE	   64.92 MB
MEMORY_USAGE	   72.39 MB
MEMORY_USAGE	   80.39 MB
MEMORY_USAGE	   88.57 MB
MEMORY_USAGE	  101.90 MB
MEMORY_USAGE	  110.07 MB
MEMORY_USAGE	  119.87 MB
MEMORY_USAGE	  126.51 MB
MEMORY_USAGE	  130.89 MB
MEMORY_USAGE	  133.73 MB
MEMORY_USAGE	  139.14 MB
MEMORY_USAGE	  144.55 MB
MEMORY_USAGE	  147.39 MB
MEMORY_USAGE	  158.61 MB
MEMORY_USAGE	  164.03 MB
MEMORY_USAGE	  172.25 MB
MEMORY_USAGE	  180.50 MB
MEMORY_USAGE	  187.39 MB
MEMORY_USAGE	  189.71 MB
MEMORY_USAGE	  194.35 MB
MEMORY_USAGE	  206.66 MB
MEMORY_USAGE	  213.62 MB
MEMORY_USAGE	  217.68 MB
MEMORY_USAGE	  222.32 MB
MEMORY_USAGE	  230.18 MB
MEMORY_USAGE	  239.65 MB
MEMORY_USAGE	  246.61 MB
MEMORY_USAGE	  254.91 MB
MEMORY_USAGE	  266.70 MB
MEMORY_USAGE	  269.02 MB
MEMORY_USAGE	  273.08 MB
MEMORY_USAGE	  279.79 MB
MEMORY_USAGE	  288.04 MB
MEMORY_USAGE	  296.73 MB
MEMORY_USAGE	  305.43 MB
MEMORY_USAGE	  314.71 MB
MEMORY_USAGE	  328.05 MB
MEMORY_USAGE	  334.43 MB
MEMORY_USAGE	  338.82 MB
MEMORY_USAGE	  345.20 MB
MEMORY_USAGE	  347.52 MB
MEMORY_USAGE	  352.16 MB
MEMORY_USAGE	  354.88 MB
MEMORY_USAGE	  357.72 MB
MEMORY_USAGE	  362.62 MB
MEMORY_USAGE	  370.54 MB
MEMORY_USAGE	  372.61 MB
MEMORY_USAGE	  378.47 MB
MEMORY_USAGE	  387.94 MB
MEMORY_USAGE	  394.64 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
MEMORY_USAGE	   76.31 MB
