Execution ID  	: 20240419_232840
Input Metadata	: num_elements=10000000
Backend       	: tracemalloc
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	    0.00 MB
MEMORY_USAGE	    0.21 MB
MEMORY_USAGE	    0.42 MB
MEMORY_USAGE	    3.14 MB
MEMORY_USAGE	    3.34 MB
MEMORY_USAGE	    3.56 MB
MEMORY_USAGE	    4.10 MB
MEMORY_USAGE	    4.29 MB
MEMORY_USAGE	    4.51 MB
MEMORY_USAGE	    4.75 MB
MEMORY_USAGE	    4.97 MB
MEMORY_USAGE	    5.54 MB
MEMORY_USAGE	    5.75 MB
MEMORY_USAGE	    5.98 MB
MEMORY_USAGE	    6.14 MB
MEMORY_USAGE	    6.38 MB
MEMORY_USAGE	    7.02 MB
MEMORY_USAGE	    7.26 MB
MEMORY_USAGE	    7.52 MB
MEMORY_USAGE	    7.77 MB
MEMORY_USAGE	    8.47 MB
MEMORY_USAGE	    8.71 MB
MEMORY_USAGE	    8.95 MB
MEMORY_USAGE	    9.17 MB
MEMORY_USAGE	    9.41 MB
MEMORY_USAGE	    9.66 MB
MEMORY_USAGE	   10.39 MB
MEMORY_USAGE	   10.48 MB
MEMORY_USAGE	   10.71 MB
MEMORY_USAGE	   10.95 MB
MEMORY_USAGE	   11.19 MB
MEMORY_USAGE	   11.44 MB
MEMORY_USAGE	   11.70 MB
MEMORY_USAGE	   12.54 MB
MEMORY_USAGE	   12.79 MB
MEMORY_USAGE	   13.02 MB
MEMORY_USAGE	   13.26 MB
MEMORY_USAGE	   13.41 MB
MEMORY_USAGE	   13.65 MB
MEMORY_USAGE	   13.90 MB
MEMORY_USAGE	   14.76 MB
MEMORY_USAGE	   15.03 MB
MEMORY_USAGE	   15.28 MB
MEMORY_USAGE	   15.52 MB
MEMORY_USAGE	   15.75 MB
MEMORY_USAGE	   15.98 MB
MEMORY_USAGE	   16.18 MB
MEMORY_USAGE	   16.39 MB
MEMORY_USAGE	   17.30 MB
MEMORY_USAGE	   17.51 MB
MEMORY_USAGE	   17.74 MB
MEMORY_USAGE	   17.97 MB
MEMORY_USAGE	   18.18 MB
MEMORY_USAGE	   18.37 MB
MEMORY_USAGE	   18.57 MB
MEMORY_USAGE	   18.75 MB
MEMORY_USAGE	   18.95 MB
MEMORY_USAGE	   19.13 MB
MEMORY_USAGE	   20.10 MB
MEMORY_USAGE	   20.32 MB
MEMORY_USAGE	   20.54 MB
MEMORY_USAGE	   20.77 MB
MEMORY_USAGE	   20.91 MB
