Execution ID  	: 20240420_030829
Input Metadata	: num_elements=10000000
Backend       	: kernel
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	   18.33 MB
MEMORY_USAGE	   19.74 MB
MEMORY_USAGE	   22.20 MB
MEMORY_USAGE	   25.86 MB
MEMORY_USAGE	   29.79 MB
MEMORY_USAGE	   31.18 MB
MEMORY_USAGE	   34.62 MB
MEMORY_USAGE	   38.68 MB
MEMORY_USAGE	   41.31 MB
MEMORY_USAGE	   43.31 MB
MEMORY_USAGE	   47.02 MB
MEMORY_USAGE	   50.81 MB
MEMORY_USAGE	   52.71 MB
MEMORY_USAGE	   56.71 MB
MEMORY_USAGE	   58.71 MB
MEMORY_USAGE	   62.85 MB
MEMORY_USAGE	   63.85 MB
MEMORY_USAGE	   70.12 MB
MEMORY_USAGE	   74.56 MB
MEMORY_USAGE	   77.56 MB
MEMORY_USAGE	   83.17 MB
MEMORY_USAGE	   86.17 MB
MEMORY_USAGE	   90.99 MB
MEMORY_USAGE	   93.99 MB
MEMORY_USAGE	   96.99 MB
MEMORY_USAGE	  102.04 MB
MEMORY_USAGE	  106.04 MB
MEMORY_USAGE	  111.33 MB
MEMORY_USAGE	  114.33 MB
MEMORY_USAGE	  117.33 MB
MEMORY_USAGE	  122.92 MB
MEMORY_USAGE	  126.92 MB
MEMORY_USAGE	  129.92 MB
MEMORY_USAGE	  130.92 MB
MEMORY_USAGE	  136.82 MB
MEMORY_USAGE	  139.82 MB
MEMORY_USAGE	  143.82 MB
MEMORY_USAGE	  146.82 MB
MEMORY_USAGE	  153.09 MB
MEMORY_USAGE	  157.09 MB
MEMORY_USAGE	  160.09 MB
MEMORY_USAGE	  163.09 MB
MEMORY_USAGE	  169.77 MB
MEMORY_USAGE	  173.78 MB
MEMORY_USAGE	  176.78 MB
MEMORY_USAGE	  179.78 MB
MEMORY_USAGE	  186.92 MB
MEMORY_USAGE	  189.92 MB
MEMORY_USAGE	  192.92 MB
MEMORY_USAGE	  195.92 MB
MEMORY_USAGE	  198.92 MB
MEMORY_USAGE	  201.92 MB
MEMORY_USAGE	  210.58 MB
MEMORY_USAGE	  213.58 MB
MEMORY_USAGE	  216.58 MB
MEMORY_USAGE	  220.58 MB
MEMORY_USAGE	  223.58 MB
MEMORY_USAGE	  224.58 MB
MEMORY_USAGE	  232.82 MB
MEMORY_USAGE	  236.82 MB
MEMORY_USAGE	  239.82 MB
MEMORY_USAGE	  242.82 MB
MEMORY_USAGE	  246.82 MB
MEMORY_USAGE	  249.82 MB
MEMORY_USAGE	  252.82 MB
MEMORY_USAGE	  262.71 MB
MEMORY_USAGE	  265.71 MB
MEMORY_USAGE	  268.71 MB
MEMORY_USAGE	  271.71 MB
MEMORY_USAGE	  274.71 MB
MEMORY_USAGE	  278.71 MB
MEMORY_USAGE	  281.71 MB
MEMORY_USAGE	  291.34 MB
MEMORY_USAGE	  295.34 MB
MEMORY_USAGE	  297.34 MB
MEMORY_USAGE	  300.34 MB
MEMORY_USAGE	  303.34 MB
MEMORY_USAGE	  307.34 MB
MEMORY_USAGE	  310.34 MB
MEMORY_USAGE	  313.34 MB
MEMORY_USAGE	  317.34 MB
MEMORY_USAGE	  327.80 MB
MEMORY_USAGE	  330.80 MB
MEMORY_USAGE	  334.81 MB
MEMORY_USAGE	  337.81 MB
MEMORY_USAGE	  338.81 MB
MEMORY_USAGE	  339.81 MB
MEMORY_USAGE	  340.81 MB
MEMORY_USAGE	  343.81 MB
MEMORY_USAGE	  344.81 MB
MEMORY_USAGE	  347.81 MB
MEMORY_USAGE	  351.81 MB
MEMORY_USAGE	  354.81 MB
MEMORY_USAGE	  366.21 MB
MEMORY_USAGE	  369.21 MB
MEMORY_USAGE	  373.21 MB
MEMORY_USAGE	  376.21 MB
MEMORY_USAGE	  379.21 MB
MEMORY_USAGE	  383.21 MB
MEMORY_USAGE	  386.21 MB
MEMORY_USAGE	  389.21 MB
MEMORY_USAGE	  393.21 MB
MEMORY_USAGE	  396.21 MB
MEMORY_USAGE	  408.64 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.71 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.68 MB
MEMORY_USAGE	  121.71 MB
MEMORY_USAGE	  121.71 MB
MEMORY_USAGE	  121.71 MB
MEMORY_USAGE	  121.71 MB
MEMORY_USAGE	  121.71 MB
MEMORY_USAGE	  121.71 MB
