Execution ID  	: 20240420_030829
Input Metadata	: num_elements=10000000
Backend       	: mprof
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	   19.24 MB
MEMORY_USAGE	   19.24 MB
MEMORY_USAGE	   19.50 MB
MEMORY_USAGE	   19.87 MB
MEMORY_USAGE	   20.18 MB
MEMORY_USAGE	   20.71 MB
MEMORY_USAGE	   20.97 MB
MEMORY_USAGE	   21.48 MB
MEMORY_USAGE	   21.82 MB
MEMORY_USAGE	   22.54 MB
MEMORY_USAGE	   22.79 MB
MEMORY_USAGE	   23.30 MB
MEMORY_USAGE	   23.82 MB
MEMORY_USAGE	   24.34 MB
MEMORY_USAGE	   24.85 MB
MEMORY_USAGE	   25.11 MB
MEMORY_USAGE	   25.62 MB
MEMORY_USAGE	   26.04 MB
MEMORY_USAGE	   26.55 MB
MEMORY_USAGE	   26.90 MB
MEMORY_USAGE	   27.41 MB
MEMORY_USAGE	   27.93 MB
MEMORY_USAGE	   28.18 MB
MEMORY_USAGE	   28.70 MB
MEMORY_USAGE	   29.21 MB
MEMORY_USAGE	   29.73 MB
MEMORY_USAGE	   30.19 MB
MEMORY_USAGE	   30.45 MB
MEMORY_USAGE	   30.96 MB
MEMORY_USAGE	   31.48 MB
MEMORY_USAGE	   31.83 MB
MEMORY_USAGE	   32.34 MB
MEMORY_USAGE	   32.60 MB
MEMORY_USAGE	   33.12 MB
MEMORY_USAGE	   33.63 MB
MEMORY_USAGE	   33.89 MB
MEMORY_USAGE	   34.41 MB
MEMORY_USAGE	   34.88 MB
MEMORY_USAGE	   35.39 MB
MEMORY_USAGE	   35.65 MB
MEMORY_USAGE	   36.16 MB
MEMORY_USAGE	   36.68 MB
MEMORY_USAGE	   36.94 MB
MEMORY_USAGE	   37.45 MB
MEMORY_USAGE	   37.97 MB
MEMORY_USAGE	   38.48 MB
MEMORY_USAGE	   38.74 MB
MEMORY_USAGE	   39.26 MB
MEMORY_USAGE	   39.77 MB
MEMORY_USAGE	   40.29 MB
MEMORY_USAGE	   40.80 MB
MEMORY_USAGE	   41.32 MB
MEMORY_USAGE	   41.55 MB
MEMORY_USAGE	   42.07 MB
MEMORY_USAGE	   42.58 MB
MEMORY_USAGE	   43.10 MB
MEMORY_USAGE	   43.61 MB
MEMORY_USAGE	   44.13 MB
MEMORY_USAGE	   44.61 MB
MEMORY_USAGE	   45.13 MB
MEMORY_USAGE	   45.64 MB
MEMORY_USAGE	   45.90 MB
MEMORY_USAGE	   46.42 MB
MEMORY_USAGE	   46.93 MB
MEMORY_USAGE	   47.45 MB
MEMORY_USAGE	   47.96 MB
MEMORY_USAGE	   48.48 MB
MEMORY_USAGE	   49.00 MB
MEMORY_USAGE	   49.51 MB
MEMORY_USAGE	   49.77 MB
MEMORY_USAGE	   50.29 MB
MEMORY_USAGE	   50.80 MB
MEMORY_USAGE	   51.31 MB
MEMORY_USAGE	   51.83 MB
MEMORY_USAGE	   52.34 MB
MEMORY_USAGE	   52.86 MB
MEMORY_USAGE	   53.38 MB
MEMORY_USAGE	   53.89 MB
MEMORY_USAGE	   54.41 MB
MEMORY_USAGE	   54.92 MB
MEMORY_USAGE	   55.44 MB
MEMORY_USAGE	   55.95 MB
MEMORY_USAGE	   56.73 MB
MEMORY_USAGE	   56.98 MB
MEMORY_USAGE	   57.50 MB
MEMORY_USAGE	   58.02 MB
MEMORY_USAGE	   58.53 MB
MEMORY_USAGE	   59.05 MB
MEMORY_USAGE	   59.30 MB
MEMORY_USAGE	   59.80 MB
MEMORY_USAGE	   60.31 MB
MEMORY_USAGE	   60.83 MB
MEMORY_USAGE	   61.34 MB
MEMORY_USAGE	   61.86 MB
MEMORY_USAGE	   62.38 MB
MEMORY_USAGE	   62.89 MB
MEMORY_USAGE	   63.41 MB
MEMORY_USAGE	   63.92 MB
MEMORY_USAGE	   64.18 MB
MEMORY_USAGE	   64.85 MB
MEMORY_USAGE	   65.11 MB
MEMORY_USAGE	   65.36 MB
MEMORY_USAGE	   65.88 MB
MEMORY_USAGE	   66.39 MB
MEMORY_USAGE	   66.91 MB
MEMORY_USAGE	   67.43 MB
MEMORY_USAGE	   67.94 MB
MEMORY_USAGE	   68.46 MB
MEMORY_USAGE	   68.97 MB
MEMORY_USAGE	   69.49 MB
MEMORY_USAGE	   69.75 MB
MEMORY_USAGE	   70.26 MB
MEMORY_USAGE	   70.78 MB
MEMORY_USAGE	   71.29 MB
MEMORY_USAGE	   71.55 MB
MEMORY_USAGE	   72.07 MB
MEMORY_USAGE	   72.58 MB
MEMORY_USAGE	   73.10 MB
MEMORY_USAGE	   73.61 MB
MEMORY_USAGE	   74.13 MB
MEMORY_USAGE	   74.39 MB
MEMORY_USAGE	   74.90 MB
MEMORY_USAGE	   75.42 MB
MEMORY_USAGE	   75.68 MB
MEMORY_USAGE	   76.19 MB
MEMORY_USAGE	   76.71 MB
MEMORY_USAGE	   77.22 MB
MEMORY_USAGE	   77.74 MB
MEMORY_USAGE	   78.00 MB
MEMORY_USAGE	   78.51 MB
MEMORY_USAGE	   79.03 MB
MEMORY_USAGE	   79.54 MB
MEMORY_USAGE	   79.80 MB
MEMORY_USAGE	   80.32 MB
MEMORY_USAGE	   80.83 MB
MEMORY_USAGE	   81.09 MB
MEMORY_USAGE	   81.61 MB
MEMORY_USAGE	   81.86 MB
MEMORY_USAGE	   82.38 MB
MEMORY_USAGE	   82.64 MB
MEMORY_USAGE	   83.15 MB
MEMORY_USAGE	   83.41 MB
MEMORY_USAGE	   83.87 MB
MEMORY_USAGE	   84.12 MB
MEMORY_USAGE	   84.64 MB
MEMORY_USAGE	   84.89 MB
MEMORY_USAGE	   85.41 MB
MEMORY_USAGE	   85.67 MB
MEMORY_USAGE	   86.18 MB
MEMORY_USAGE	   86.44 MB
MEMORY_USAGE	   86.96 MB
MEMORY_USAGE	   87.47 MB
MEMORY_USAGE	   87.99 MB
MEMORY_USAGE	   88.50 MB
MEMORY_USAGE	   89.02 MB
MEMORY_USAGE	   89.28 MB
MEMORY_USAGE	   89.79 MB
MEMORY_USAGE	   90.57 MB
MEMORY_USAGE	   90.82 MB
MEMORY_USAGE	   91.34 MB
MEMORY_USAGE	   91.96 MB
MEMORY_USAGE	   92.22 MB
MEMORY_USAGE	   92.73 MB
MEMORY_USAGE	   93.25 MB
MEMORY_USAGE	   93.51 MB
MEMORY_USAGE	   94.02 MB
MEMORY_USAGE	   94.28 MB
MEMORY_USAGE	   94.54 MB
MEMORY_USAGE	   95.05 MB
MEMORY_USAGE	   95.31 MB
MEMORY_USAGE	   95.57 MB
MEMORY_USAGE	   96.09 MB
MEMORY_USAGE	   96.34 MB
MEMORY_USAGE	   96.60 MB
MEMORY_USAGE	   97.12 MB
MEMORY_USAGE	   97.38 MB
MEMORY_USAGE	   97.63 MB
MEMORY_USAGE	   97.89 MB
MEMORY_USAGE	   98.15 MB
MEMORY_USAGE	   98.66 MB
MEMORY_USAGE	   98.92 MB
MEMORY_USAGE	   99.18 MB
MEMORY_USAGE	   99.70 MB
MEMORY_USAGE	   99.95 MB
MEMORY_USAGE	  100.21 MB
MEMORY_USAGE	  100.47 MB
MEMORY_USAGE	  100.98 MB
MEMORY_USAGE	  101.24 MB
MEMORY_USAGE	  101.50 MB
MEMORY_USAGE	  101.76 MB
MEMORY_USAGE	  102.27 MB
MEMORY_USAGE	  102.53 MB
MEMORY_USAGE	  103.05 MB
MEMORY_USAGE	  103.30 MB
MEMORY_USAGE	  103.82 MB
MEMORY_USAGE	  104.08 MB
MEMORY_USAGE	  104.34 MB
MEMORY_USAGE	  104.85 MB
MEMORY_USAGE	  105.11 MB
MEMORY_USAGE	  105.62 MB
MEMORY_USAGE	  105.88 MB
MEMORY_USAGE	  106.40 MB
MEMORY_USAGE	  106.66 MB
MEMORY_USAGE	  106.91 MB
MEMORY_USAGE	  107.43 MB
MEMORY_USAGE	  107.69 MB
MEMORY_USAGE	  108.20 MB
MEMORY_USAGE	  108.72 MB
MEMORY_USAGE	  108.98 MB
MEMORY_USAGE	  109.49 MB
MEMORY_USAGE	  110.01 MB
MEMORY_USAGE	  110.27 MB
MEMORY_USAGE	  110.78 MB
MEMORY_USAGE	  111.04 MB
MEMORY_USAGE	  111.55 MB
MEMORY_USAGE	  111.81 MB
MEMORY_USAGE	  112.33 MB
MEMORY_USAGE	  112.84 MB
MEMORY_USAGE	  113.10 MB
MEMORY_USAGE	  113.62 MB
MEMORY_USAGE	  113.88 MB
MEMORY_USAGE	  114.39 MB
MEMORY_USAGE	  114.65 MB
MEMORY_USAGE	  115.16 MB
MEMORY_USAGE	  115.42 MB
MEMORY_USAGE	  115.94 MB
MEMORY_USAGE	  116.45 MB
MEMORY_USAGE	  116.71 MB
MEMORY_USAGE	  117.23 MB
MEMORY_USAGE	  117.48 MB
MEMORY_USAGE	  118.00 MB
MEMORY_USAGE	  118.52 MB
MEMORY_USAGE	  119.03 MB
MEMORY_USAGE	  119.29 MB
MEMORY_USAGE	  119.80 MB
MEMORY_USAGE	  120.32 MB
MEMORY_USAGE	  120.58 MB
MEMORY_USAGE	  121.09 MB
MEMORY_USAGE	  121.61 MB
MEMORY_USAGE	  122.12 MB
MEMORY_USAGE	  122.64 MB
MEMORY_USAGE	  122.83 MB
MEMORY_USAGE	  123.34 MB
MEMORY_USAGE	  123.86 MB
MEMORY_USAGE	  124.38 MB
MEMORY_USAGE	  124.63 MB
MEMORY_USAGE	  124.89 MB
MEMORY_USAGE	  125.41 MB
MEMORY_USAGE	  125.66 MB
MEMORY_USAGE	  126.18 MB
MEMORY_USAGE	  126.44 MB
MEMORY_USAGE	  126.70 MB
MEMORY_USAGE	  127.21 MB
MEMORY_USAGE	  127.47 MB
MEMORY_USAGE	  127.98 MB
MEMORY_USAGE	  128.50 MB
MEMORY_USAGE	  128.76 MB
MEMORY_USAGE	  129.27 MB
MEMORY_USAGE	  129.53 MB
MEMORY_USAGE	  130.05 MB
MEMORY_USAGE	  130.56 MB
MEMORY_USAGE	  130.82 MB
MEMORY_USAGE	  131.34 MB
MEMORY_USAGE	  131.59 MB
MEMORY_USAGE	  131.85 MB
MEMORY_USAGE	  132.37 MB
MEMORY_USAGE	  132.62 MB
MEMORY_USAGE	  132.88 MB
MEMORY_USAGE	  133.40 MB
MEMORY_USAGE	  133.66 MB
MEMORY_USAGE	  133.91 MB
MEMORY_USAGE	  134.43 MB
MEMORY_USAGE	  134.95 MB
MEMORY_USAGE	  135.46 MB
MEMORY_USAGE	  135.79 MB
MEMORY_USAGE	  136.30 MB
MEMORY_USAGE	  136.82 MB
MEMORY_USAGE	  137.34 MB
MEMORY_USAGE	  137.59 MB
MEMORY_USAGE	  138.11 MB
MEMORY_USAGE	  138.37 MB
MEMORY_USAGE	  138.62 MB
MEMORY_USAGE	  139.14 MB
MEMORY_USAGE	  139.66 MB
MEMORY_USAGE	  140.17 MB
MEMORY_USAGE	  140.43 MB
MEMORY_USAGE	  140.95 MB
MEMORY_USAGE	  141.46 MB
MEMORY_USAGE	  141.98 MB
MEMORY_USAGE	  142.49 MB
MEMORY_USAGE	  142.75 MB
MEMORY_USAGE	  143.27 MB
MEMORY_USAGE	  143.78 MB
MEMORY_USAGE	  144.30 MB
MEMORY_USAGE	  144.55 MB
MEMORY_USAGE	  145.33 MB
MEMORY_USAGE	  145.59 MB
MEMORY_USAGE	  146.10 MB
MEMORY_USAGE	  146.62 MB
MEMORY_USAGE	  147.13 MB
MEMORY_USAGE	  147.65 MB
MEMORY_USAGE	  148.16 MB
MEMORY_USAGE	  148.42 MB
MEMORY_USAGE	  148.94 MB
MEMORY_USAGE	  149.45 MB
MEMORY_USAGE	  149.97 MB
MEMORY_USAGE	  150.48 MB
MEMORY_USAGE	  151.00 MB
MEMORY_USAGE	  151.26 MB
MEMORY_USAGE	  153.77 MB
MEMORY_USAGE	  154.29 MB
MEMORY_USAGE	  154.54 MB
MEMORY_USAGE	  155.06 MB
