Execution ID  	: 20240420_033722
Input Metadata	: num_elements=10000000
Backend       	: resource
Precision     	: 0.0001 seconds
Function      	: consume_large_memory

MEMORY_USAGE	   12.62 MB
MEMORY_USAGE	   12.66 MB
MEMORY_USAGE	   14.56 MB
MEMORY_USAGE	   16.36 MB
MEMORY_USAGE	   18.55 MB
MEMORY_USAGE	   20.35 MB
MEMORY_USAGE	   22.16 MB
MEMORY_USAGE	   23.98 MB
MEMORY_USAGE	   25.79 MB
MEMORY_USAGE	   27.59 MB
MEMORY_USAGE	   29.66 MB
MEMORY_USAGE	   31.41 MB
MEMORY_USAGE	   33.11 MB
MEMORY_USAGE	   34.92 MB
MEMORY_USAGE	   36.98 MB
MEMORY_USAGE	   38.93 MB
MEMORY_USAGE	   40.73 MB
MEMORY_USAGE	   42.79 MB
MEMORY_USAGE	   44.86 MB
MEMORY_USAGE	   46.92 MB
MEMORY_USAGE	   49.10 MB
MEMORY_USAGE	   50.91 MB
MEMORY_USAGE	   52.97 MB
MEMORY_USAGE	   54.52 MB
MEMORY_USAGE	   56.58 MB
MEMORY_USAGE	   58.64 MB
MEMORY_USAGE	   60.70 MB
MEMORY_USAGE	   62.77 MB
MEMORY_USAGE	   64.84 MB
MEMORY_USAGE	   66.91 MB
MEMORY_USAGE	   68.97 MB
MEMORY_USAGE	   70.98 MB
MEMORY_USAGE	   72.79 MB
MEMORY_USAGE	   74.59 MB
MEMORY_USAGE	   76.65 MB
MEMORY_USAGE	   78.71 MB
MEMORY_USAGE	   80.78 MB
MEMORY_USAGE	   82.84 MB
MEMORY_USAGE	   84.90 MB
MEMORY_USAGE	   86.96 MB
MEMORY_USAGE	   89.29 MB
MEMORY_USAGE	   91.35 MB
MEMORY_USAGE	   93.67 MB
MEMORY_USAGE	   95.89 MB
MEMORY_USAGE	   98.21 MB
MEMORY_USAGE	  100.27 MB
MEMORY_USAGE	  102.59 MB
MEMORY_USAGE	  104.65 MB
MEMORY_USAGE	  106.64 MB
MEMORY_USAGE	  108.70 MB
MEMORY_USAGE	  110.77 MB
MEMORY_USAGE	  112.83 MB
MEMORY_USAGE	  114.89 MB
MEMORY_USAGE	  116.95 MB
MEMORY_USAGE	  119.27 MB
MEMORY_USAGE	  121.59 MB
MEMORY_USAGE	  123.66 MB
MEMORY_USAGE	  126.23 MB
MEMORY_USAGE	  128.30 MB
MEMORY_USAGE	  130.62 MB
MEMORY_USAGE	  132.94 MB
MEMORY_USAGE	  136.48 MB
MEMORY_USAGE	  138.03 MB
MEMORY_USAGE	  139.83 MB
MEMORY_USAGE	  141.64 MB
MEMORY_USAGE	  143.44 MB
MEMORY_USAGE	  147.45 MB
MEMORY_USAGE	  149.51 MB
MEMORY_USAGE	  151.57 MB
MEMORY_USAGE	  153.63 MB
MEMORY_USAGE	  155.44 MB
MEMORY_USAGE	  157.24 MB
MEMORY_USAGE	  159.30 MB
MEMORY_USAGE	  160.82 MB
MEMORY_USAGE	  162.89 MB
MEMORY_USAGE	  165.05 MB
MEMORY_USAGE	  168.85 MB
MEMORY_USAGE	  170.65 MB
MEMORY_USAGE	  172.20 MB
MEMORY_USAGE	  174.26 MB
MEMORY_USAGE	  176.07 MB
MEMORY_USAGE	  178.39 MB
MEMORY_USAGE	  180.71 MB
MEMORY_USAGE	  183.03 MB
MEMORY_USAGE	  185.35 MB
MEMORY_USAGE	  189.15 MB
